ProductID,Shade Color
100009,White Tones
1014,White Tones
10272,Art Glass
10303,Art Glass
10350,Art Glass
10468,Multi-Color
10499,Multi-Color
10779,Amber Tones
11149,Beige / Cream Tones
1225,Clear
1229,Clear
1233,Clear
1286,White Tones
13175,White Tones
13183,White Tones
13192,White Tones
13235,
13244,
13248,
13254,Pewter
13263,
13270,White Tones
14105,
14109,
14115,
1417,White Tones
1434,White Tones
1439,White Tones
1486,White Tones
1498,White Tones
1504,White Tones
15084,White Tones
1509,White Tones
15092,White Tones
1513,White Tones
1519,White Tones
15200,White Tones
15219,White Tones
1522,White Tones
15238,White Tones
15278,White Tones
15281,White Tones
1531,Satin Nickel
15367,Beige / Cream Tones
15509,Beige / Cream Tones
15518,Beige / Cream Tones
15525,Beige / Cream Tones
15698,Satin Nickel
15702,Satin Nickel
15732,White Tones
15744,White Tones
1579,White Tones
1584,Bronze Tones
1618,Clear
1733,Clear
1738,Clear
17748,Clear
1813,Clear
1823,Clear
18563,White Tones
18631,Black Tones
18636,Bronze Tones
18639,White Tones
18642,
18645,
18649,
19199,
19201,
19203,
19206,
19277,
19323,Chrome
19346,
19364,
19425,
19559,Clear
19562,Clear
19573,White Tones
19575,White Tones
19613,
19645,
19648,
19650,
19729,Alabaster Glass
19739,Alabaster Glass
19846,White Tones
19850,White Tones
19852,White Tones
19856,White Tones
19862,White Tones
19864,White Tones
19898,Clear
19900,Clear
19939,Clear
19983,Clear
200096,White Tones
200124,
20022,White Tones
20024,White Tones
200283,White Tones
200588,Brass Tones
200695,Clear
200734,Beige / Cream Tones
200885,White Tones
200905,Beige / Cream Tones
200908,Beige / Cream Tones
200909,Beige / Cream Tones
200910,Brown tones
201142,
20118,Alabaster Glass
201228,Clear
20123,Alabaster Glass
201248,White Tones
201301,Bronze Tones
20137,Iridescent
201586,White Tones
201656,Clear
201676,Black Tones
201677,
201748,White Tones
20177,Iridescent
20184,Iridescent
20197,Iridescent
20204,White Tones
202087,Beige / Cream Tones
20209,Iridescent
202093,
20212,Brown tones
20219,White Tones
20221,Brown tones
20229,Beige / Cream Tones
20233,Alabaster Glass
20236,Alabaster Glass
20237,White Tones
20240,Iridescent
20241,White Tones
20248,White Tones
202494,Brown tones
20261,
202857,Clear
20287,Iridescent
20291,Iridescent
20294,Orange Tones
20302,Iridescent
20304,White Tones
20309,White Tones
20313,White Tones
20315,White Tones
20317,White Tones
203174,Amber Tones
203175,Amber Tones
203177,Amber Tones
20320,Amber Tones
20321,White Tones
203276,White Tones
203286,
20333,Iridescent
20335,Iridescent
20350,Iridescent
20365,Clear
20370,Clear
203858,Clear
20387,
203895,
20407,
204080,White Tones
20412,
20414,
20418,
204259,Beige / Cream Tones
20434,Alabaster Glass
204384,White Tones
20439,Alabaster Glass
20448,Alabaster Glass
20453,Alabaster Glass
20455,Alabaster Glass
20457,Alabaster Glass
20465,Alabaster Glass
20467,Alabaster Glass
204689,White Tones
20469,Alabaster Glass
204709,Clear
204716,Clear
20473,Alabaster Glass
20475,Alabaster Glass
20477,Alabaster Glass
20487,Amber Tones
20490,Alabaster Glass
20492,Alabaster Glass
20495,
20497,Brass Tones
20500,Alabaster Glass
20504,Alabaster Glass
205109,
205160,Brown tones
205161,Amber Tones
205218,Bronze Tones
20523,Bronze Tones
205359,Amber Tones
205833,
206014,White Tones
206039,White Tones
206040,
206253,White Tones
206346,
206358,Multi-Color
206583,Alabaster Glass
206742,White Tones
207381,Clear
20780,White Tones
20806,White Tones
20808,White Tones
20817,White Tones
20821,White Tones
20824,White Tones
208390,White Tones
20849,White Tones
208494,
20855,White Tones
208681,Clear
20872,White Tones
20874,Clear
20877,Clear
208815,Amber Tones
20891,Clear
208958,Beige / Cream Tones
209003,White Tones
209018,White Tones
209457,Brown tones
20946,Clear
20949,Clear
20953,Clear
20965,Clear
209793,Brown tones
209836,White Tones
210208,
210218,
210240,Beige / Cream Tones
210323,Clear
210445,
210503,None
210592,
21076,Beige / Cream Tones
210772,White Tones
211235,
211297,White Tones
211310,Clear
211457,
211501,White Tones
211625,Beige / Cream Tones
211665,Amber Tones
211667,Amber Tones
211670,Amber Tones
211940,Black Tones
212127,White Tones
212456,
213180,
21345,Black Tones
213502,White Tones
213508,White Tones
21351,Satin Nickel
21361,Satin Nickel
213664,
214054,Amber Tones
214144,Alabaster Glass
214152,Alabaster Glass
214247,
214371,
214499,Amber Tones
214551,
214553,
214554,
214555,
214642,White Tones
214645,White Tones
214842,
214845,
214850,
214853,
214859,
214862,
214984,White Tones
214993,Clear
215114,Amber Tones
215195,
215387,White Tones
215793,White Tones
215794,White Tones
215879,Beige / Cream Tones
216113,
216332,
216510,Brown tones
216629,White Tones
216821,Alabaster Glass
217178,Black Tones
217424,White Tones
217685,Beige / Cream Tones
217769,White Tones
217792,White Tones
217968,Clear
217993,Clear
218444,Grey Tones
218898,White Tones
218924,
219152,
219182,Beige / Cream Tones
219191,White Tones
219205,White Tones
219207,White Tones
219211,White Tones
219213,White Tones
219216,White Tones
219649,Amber Tones
219653,Amber Tones
219654,Amber Tones
219657,Amber Tones
220240,Clear
220638,
220773,
220795,White Tones
220797,White Tones
22084,Beige / Cream Tones
220874,White Tones
221,
22107,Beige / Cream Tones
22126,Beige / Cream Tones
22155,Brown tones
22187,Beige / Cream Tones
221930,White Tones
22197,Beige / Cream Tones
221993,
222201,
222297,
22255,
222674,
22279,White Tones
22285,White Tones
222919,White Tones
22318,White Tones
22330,White Tones
22349,
223647,Amber Tones
223810,Clear
223989,
22405,White Tones
22409,White Tones
22442,White Tones
225349,
22565,White Tones
22587,
226004,
226013,White Tones
226161,
226324,White Tones
226493,White Tones
226591,Amber Tones
22665,
226691,
226760,White Tones
226771,White Tones
226773,
22686,
22689,
227074,White Tones
22710,Clear
22713,Clear
227145,
227284,White Tones
22746,
227681,White Tones
22770,Black Tones
227718,
228032,White Tones
22845,
22846,
22848,
22849,
22850,
22851,
22852,
22853,
22854,
228540,Beige / Cream Tones
22855,
22856,
22857,
22858,
22859,
22860,
22863,
22864,
22865,
22866,
22867,
22868,
22869,
22872,
22874,White Tones
22875,
22876,
22877,
22878,
22882,
22883,
22884,
22885,
22888,
22890,
22892,
22893,
22894,
22895,
228955,
22896,
22897,
22898,
228989,
22899,
228991,
228992,
228993,
22900,
22901,
22902,
22904,
22905,
22906,
22907,
22908,
22909,
22910,
229103,White Tones
22911,
22912,
22914,
22915,
22916,
22917,
22918,
22919,
22920,
22921,
22922,
22923,
22924,
22925,
22926,
22927,
22928,
22929,
22930,
22932,
22933,
22934,
22935,
22936,
229369,Beige / Cream Tones
22949,
22950,
22951,
22952,
229524,Clear
22955,
22956,
22957,
22958,
22959,
22960,
22962,
22963,
22965,
22966,
22967,
22968,
22969,
22971,
22972,
22974,
22975,
22977,
229788,Beige / Cream Tones
22979,
229791,White Tones
22980,
22987,
22991,
22992,
22999,
230004,White Tones
230078,None
