ProductID,Shade Shape
100009,Conical
1014,Bowl / Dome
10272,Bowl / Dome
10303,Bowl / Dome
10350,Bowl / Dome
10468,Hexagon
10499,Bowl / Dome
10779,Scalloped
11149,Coolie
1225,
1229,
1233,
1286,Oblong
13175,
13183,
13192,
13235,
13244,
13248,
13254,
13263,
13270,Bowl / Dome
14105,Bowl / Dome
14109,Bowl / Dome
14115,
1417,Square
1434,Bowl / Dome
1439,Bowl / Dome
1486,
1498,
1504,
15084,Bowl / Dome
1509,
15092,Bowl / Dome
1513,
1519,
15200,Bell
15219,Bowl / Dome
1522,
15238,Bell
15278,Cylindrical
15281,Bell
1531,
15367,Cylindrical
15509,
15518,
15525,
15698,Bowl / Dome
15702,Bowl / Dome
15732,Cylindrical
15744,
1579,
1584,
1618,
1733,
1738,
17748,
1813,
1823,
18563,Bell
18631,
18636,
18639,
18642,
18645,
18649,
19199,
19201,
19203,
19206,
19277,
19323,Conical
19346,
19364,
19425,
19559,
19562,
19573,Bowl / Dome
19575,Bowl / Dome
19613,
19645,
19648,
19650,
19729,Bowl / Dome
19739,
19846,Bowl / Dome
19850,Bowl / Dome
19852,Bowl / Dome
19856,Bowl / Dome
19862,Bowl / Dome
19864,Bowl / Dome
19898,
19900,
19939,
19983,
200096,Cylindrical
200124,
20022,Conical
20024,Conical
200283,Oval
200588,Bowl / Dome
200695,
200734,Drum
200885,Cylindrical
200905,Cut Corner
200908,Cut Corner
200909,Bell
200910,Bowl / Dome
201142,
20118,Bowl / Dome
201228,
20123,Bowl / Dome
201248,Cylindrical
201301,
20137,
201586,
201656,Bowl / Dome
201676,
201677,
201748,Bell
20177,
20184,
20197,
20204,
202087,Bell
20209,
202093,Bell
20212,
20219,
20221,
20229,
20233,
20236,Conical
20237,
20240,
20241,
20248,
202494,
20261,
202857,
20287,
20291,
20294,
20302,
20304,
20309,
20313,
20315,
20317,
203174,Bell
203175,Bowl / Dome
203177,Bell
20320,Square
20321,
203276,Coolie
203286,
20333,
20335,
20350,
20365,
20370,
203858,Square
20387,
203895,
20407,
204080,Bowl / Dome
20412,
20414,
20418,
204259,Bell
20434,Fluted
204384,Rectangle
20439,Fluted
20448,Fluted
20453,Fluted
20455,Fluted
20457,Fluted
20465,Fluted
20467,Fluted
204689,
20469,Bell
204709,
204716,
20473,Bell
20475,Bell
20477,Bell
20487,Bell
20490,Bell
20492,Bell
20495,
20497,
20500,Bell
20504,Bell
205109,
