ProductID,Treatment
100009,Satin
1014,
10272,Oil Rubbed
10303,
10350,Antique
10468,Oil Rubbed
10499,
10779,
11149,Hammered
1225,Brushed
1229,Brushed
1233,Brushed
1286,Brushed
13175,
13183,
13192,
13235,
13244,
13248,
13254,Painted
13263,
13270,
14105,
14109,
14115,
1417,
1434,Brushed
1439,
1486,Brushed
1498,
1504,Brushed
15084,Forged
1509,
15092,Forged
1513,
1519,Brushed
15200,Forged
15219,Forged
1522,
15238,Forged
15278,Forged
15281,Forged
1531,Brushed
15367,Forged
15509,Powdercoat
15518,Powdercoat
15525,Powdercoat
15698,Brushed
15702,Brushed
15732,Brushed
15744,Brushed
1579,
1584,Painted
1618,
1733,
1738,
17748,
1813,
1823,
18563,Polished
18631,
18636,
18639,
18642,
18645,
18649,
19199,
19201,
19203,Satin
19206,
19277,Polished
19323,Brushed Anodized
19346,Satin
19364,Polished
19425,
19559,Satin
19562,Satin
19573,Polished
19575,Satin
19613,Polished
19645,
19648,
19650,
19729,Satin
19739,
19846,Satin
19850,Polished
19852,Painted
19856,Polished
19862,Painted
19864,Satin
19898,
19900,
19939,Satin
19983,
200096,Brushed
200124,Painted
20022,
20024,Brushed
200283,Brushed
200588,Brushed
200695,
200734,
200885,Brushed
200905,
200908,
200909,
200910,
201142,
20118,Satin
201228,
20123,
201248,Hammered
201301,
20137,Patina
201586,Satin
201656,
201676,
201677,
201748,
20177,
20184,Patina
20197,Patina
20204,
202087,
20209,
202093,
20212,
20219,Patina
20221,
20229,
20233,
20236,Satin
20237,
20240,
20241,
20248,
202494,
20261,
202857,
20287,
20291,
20294,Patina
20302,
20304,
20309,
20313,
20315,Patina
20317,Patina
203174,
203175,
203177,
20320,
20321,
203276,Brushed
203286,
20333,
20335,Patina
20350,
20365,
20370,
203858,Polished
20387,Polished
203895,
20407,Polished
204080,
20412,Brushed
20414,Polished
20418,
204259,
20434,Satin
204384,Satin
20439,
20448,Satin
20453,
20455,Satin
20457,
20465,Satin
20467,
204689,
20469,Satin
204709,
204716,
20473,Polished
20475,
20477,Satin
20487,Polished
20490,
20492,Satin
20495,Brushed Anodized
20497,Polished
20500,Polished
20504,
205109,
205160,
205161,
205218,
20523,Oil Rubbed
205359,
205833,
206014,Brushed
206039,
206040,
206253,Satin
206346,
206358,
206583,
206742,Satin
207381,
20780,Powdercoat
20806,Satin
20808,Polished
20817,Polished
20821,Powdercoat
20824,Satin
208390,
20849,Powdercoat
208494,
20855,Satin
208681,
20872,Powdercoat
20874,
20877,
208815,
20891,
208958,
209003,Satin
209018,
209457,
20946,
20949,
20953,
20965,Satin
209793,
209836,
210208,Natural
210218,
210240,
210323,
210445,
210503,Painted
210592,
21076,
210772,Polished
211235,
211297,Polished
211310,
211457,
211501,Forged
211625,Powdercoat
211665,
211667,
211670,
211940,
212127,
212456,
213180,
21345,
213502,Brushed
213508,Brushed
21351,Satin
21361,Satin
213664,
214054,
214144,Painted
214152,
214247,
214371,
214499,
214551,
214553,
214554,
214555,
214642,
214645,
214842,
214845,
214850,
214853,
214859,
214862,
214984,Satin
214993,
215114,
215195,Forged
215387,Antique
215793,Satin
215794,Satin
215879,Powdercoat
216113,
216332,
216510,
216629,Satin
216821,Polished
217178,
217424,Satin
217685,
217769,Satin
217792,Satin
217968,
217993,
218444,
218898,Satin
218924,
219152,
219182,
219191,
219205,Satin
219207,Satin
219211,Satin
219213,
219216,Satin
219649,
219653,
219654,
219657,
220240,
220638,
220773,
220795,
220797,
22084,
220874,Polished
221,
22107,
22126,
22155,
22187,
221930,
22197,
221993,
222201,
222297,
22255,
222674,
22279,
22285,
222919,Satin
22318,
22330,
22349,
223647,
223810,
223989,Brushed
22405,
22409,
22442,
225349,
22565,
22587,
226004,
226013,Polished
226161,
226324,Polished
226493,
226591,
22665,
226691,
226760,
226771,
226773,Satin
22686,
22689,
227074,Polished
22710,Antique
22713,Antique
227145,
227284,
22746,
227681,
22770,
227718,
228032,
22845,
22846,
22848,
22849,
22850,
22851,
22852,
22853,
22854,
228540,Polished
22855,
22856,
22857,
22858,
22859,
22860,
22863,
22864,
22865,
22866,
22867,
22868,
22869,
22872,
22874,
22875,
22876,
22877,
22878,
22882,
22883,
22884,
22885,
22888,
22890,
22892,
22893,
22894,
22895,
228955,
22896,
22897,
22898,
228989,
22899,
228991,
228992,
228993,
22900,
22901,
22902,
22904,
22905,
22906,
22907,
22908,
22909,
22910,
229103,
22911,
22912,
22914,
22915,
22916,
22917,
22918,
22919,
22920,
22921,
22922,
22923,
22924,
22925,
22926,
22927,
22928,
22929,
22930,
22932,
22933,
22934,
22935,
22936,
229369,
22949,
22950,
22951,
22952,
229524,Polished
22955,
22956,
22957,
22958,
22959,
22960,
22962,
22963,
22965,
22966,
22967,
22968,
22969,
22971,
22972,
22974,
22975,
22977,
229788,
22979,
229791,
22980,
22987,
22991,
22992,
22999,
230004,
230078,
23013,
23014,
23015,
23016,
23017,
23018,
23019,
23020,
23021,
23022,
230247,Hammered
23026,
23028,
23031,Painted
23048,
23049,
23050,
23051,
23052,
230557,
23058,
23059,
230593,Polished
23061,
23062,
23063,
23064,
23065,
23066,
23067,Satin
23068,Satin
23069,
23070,
230702,
23071,Brushed
230712,Brushed
230713,Brushed
23072,Brushed
23073,
23074,
230751,Brushed
230823,Forged
23090,Brushed
23091,
230936,
23095,
23096,
230986,
231043,
23106,
23107,
23108,
231087,
231244,Satin
23126,
23127,
23129,
23130,
23131,
23132,
23133,
23135,
231468,
23149,
23151,
23153,
23154,
23157,
23158,
23160,Painted
23164,Painted
23165,
23166,
23167,Satin
23168,Painted
23169,
23171,Satin
23173,
231768,
23182,
23183,
23186,
23187,
231878,
23188,
23189,
23190,
23191,
23192,
23195,
23196,
23197,
23200,
23201,
23206,
23207,
232077,
23208,
23209,
232099,
23210,
23211,
23212,
23213,
23216,
23217,
23218,
232325,
232334,
232370,
232372,
232376,
232407,Satin
232525,
23261,
23262,
23263,
232632,
232638,
23264,
23266,
23267,
23269,
23272,
23275,
23276,
23278,
23279,
23291,
23292,
23310,
23311,
23312,
233238,Polished
23339,
233636,
234200,Brushed
234231,Brushed
234355,Painted
234509,
234510,
234511,
234512,
234932,Satin
235059,Polished
235131,
235165,
235171,Antique
235172,Burnished
235174,
235191,
235516,
235585,
235613,
235691,
235694,
235848,
235998,
236063,
236215,
236228,
236230,
236231,
236301,
236343,
236347,
236349,
236356,
236363,
236364,
236367,
236590,
236627,
236630,
236631,
236632,
236634,
236638,
236643,
236649,
236650,
236653,
236655,
236656,
236658,
236668,
236669,
236672,
236675,
236676,
236710,Brushed
236713,
236714,
236715,
236716,
236720,
236721,
236723,
236725,
236726,
236799,
236800,
236808,
237097,
238099,Satin
238138,
238298,Polished
238877,
238878,
239674,
239998,
240031,Powdercoat
240717,
240761,
241284,Hammered
241957,Forged
242193,
242242,
242622,Brushed
242907,
243391,
243449,Satin
243450,
243455,
243458,
243546,
243813,Brushed
244228,Powdercoat
244281,Oil Rubbed
244530,
244657,
244939,
244940,
244942,
244943,
244944,
244945,
244946,
244947,
245062,
245128,
245129,
245130,
245131,
245848,
245849,
245852,
245853,
245855,
245857,
245903,Satin
246011,
246270,
246413,
246423,
246426,
246477,
246478,Satin
246482,Satin
246496,
246497,Satin
246508,
246777,
246796,
246797,
246800,
246801,
246837,
246839,
246840,
246841,
246844,Antique
246904,Antique
246979,
247010,
247045,Brushed
247322,
247418,Antique
247428,
247435,
247439,
247442,
247447,
247451,
247458,
247463,
247467,
247470,
247472,
247473,
247545,
247722,
247816,
247919,Satin
247921,Satin
248064,
248187,
248353,Polished
248541,
248547,
248551,
248630,
248868,
249060,
