,class_name,class_id
0,White Tones,1
1,Art Glass,2
2,Multi-Color,3
3,Amber Tones,4
4,Beige / Cream Tones,5
5,Clear,6
6,Pewter,7
7,Satin Nickel,8
8,Bronze Tones,9
9,Black Tones,10
10,Chrome,11
11,Alabaster Glass,12
12,Brass Tones,13
13,Brown tones,14
14,Iridescent,15
15,Orange Tones,16
16,None,17
17,Grey Tones,18
18,Silver Tones,19
19,Gold Tones,20
20,Purple Tones,21
21,Red Tones,22
22,Copper Tones,23
23,Yellow Tones,24
24,Polished Nickel,25
25,Wood Tones,26
26,Green Tones,27
27,Blue Tones,28
28,Pink Tones,29
29,Taupe Tones,30
30,Stainless,31
31,Mercury,32
32,Zinc,33
