ProductID,class_id
100009,1
1014,2
10272,2
10303,2
10350,2
10468,2
10499,2
10779,2
11149,2
1225,1
1229,1
1233,1
1286,1
13175,3
13183,3
13192,3
13235,4
13244,5
13248,4
13254,5
13263,5
13270,4
14105,4
14109,6
14115,3
1417,4
1434,1
1439,4
1486,1
1498,3
1504,1
15084,3
1509,2
15092,3
1513,4
1519,1
15200,7
15219,7
1522,2
15238,7
15278,7
15281,7
1531,1
15367,7
15509,7
15518,7
15525,7
15698,1
15702,1
15732,1
15744,1
1579,4
1584,2
1618,2
1733,2
1738,2
17748,2
1813,2
1823,2
18563,8
18631,3
18636,2
18639,4
18642,3
18645,2
18649,4
19199,1
19201,3
19203,1
19206,4
19277,8
19323,9
19346,10
19364,10
19425,2
19559,3
19562,4
19573,11
19575,1
19613,9
19645,12
19648,1
19650,2
19729,1
19739,2
19846,1
19850,11
19852,4
19856,11
19862,4
19864,1
19898,2
19900,3
19939,3
19983,5
200096,1
200124,10
20022,3
20024,1
200283,1
200588,11
200695,3
200734,2
200885,11
200909,2
200910,2
201142,3
20118,1
201228,2
20123,2
201248,7
201301,2
20137,13
201586,1
201656,7
201676,3
201677,3
201748,2
20177,14
20184,13
20197,13
20204,14
20209,2
20212,2
20219,13
20221,2
20229,2
20233,1
20236,1
20237,2
20240,2
20241,12
20248,12
202494,2
20261,14
202857,2
20287,2
20291,2
20294,2
20302,2
20304,4
20309,4
20313,4
20315,13
20317,13
203174,2
203175,2
203177,2
20320,2
20321,4
203276,11
203286,7
20333,14
20335,13
20350,14
20365,2
20370,5
203858,9
20387,9
203895,4
20407,9
204080,7
20412,1
20414,9
20418,1
20434,1
204384,1
20439,2
20448,1
20453,2
20455,1
20457,2
20465,1
20467,2
204689,2
20469,1
204709,3
204716,2
20473,9
20475,2
20477,1
20487,9
20490,2
20492,1
20495,1
20497,11
20500,9
20504,2
205109,3
205160,2
205161,2
205218,2
20523,2
205359,2
205833,3
206014,1
206039,2
206040,4
206253,1
206358,15
206583,2
206742,1
207381,4
20780,4
20806,1
20808,11
20817,11
20821,2
20824,1
208390,2
20849,2
208494,2
20855,1
208681,2
20872,2
20874,2
20877,3
208815,2
20891,3
208958,2
209003,1
209018,2
209457,2
20946,2
20949,1
20953,2
20965,1
209793,2
209836,1
210208,1
210240,2
210323,7
210445,7
210503,3
210592,3
210772,9
211297,8
211310,2
211457,4
211501,2
211625,7
211665,2
211667,2
211670,2
211940,3
212127,2
212456,3
213180,2
21345,3
213502,12
213508,1
21351,1
21361,1
214054,2
214144,2
214152,2
214247,2
214371,10
214499,2
214551,2
214553,2
214554,4
214555,2
214642,2
214645,2
214842,16
214845,16
214850,16
214853,16
214859,16
214862,16
214984,1
214993,2
215114,2
215195,2
215387,1
215793,1
215794,1
215879,7
216113,2
216332,14
216510,2
216629,1
216821,9
217178,3
217424,1
217685,11
217769,1
217792,1
217968,7
217993,2
218444,9
218898,1
218924,2
219152,2
219182,2
219191,2
219205,1
219207,1
219211,1
219213,1
219216,1
219649,2
219653,2
219654,2
219657,2
220240,3
220638,2
220773,2
220874,8
221,4
221930,3
221993,7
222201,3
222297,2
222674,3
22279,4
22285,4
222919,2
22318,4
22330,4
22349,4
223647,2
223810,7
223989,1
22405,4
22409,4
22442,4
22565,4
22587,4
226004,2
226013,8
226161,10
226324,8
226591,2
22665,4
226691,17
226760,3
226771,2
226773,1
22686,4
22689,4
227074,8
22710,2
22713,2
227145,2
227284,11
22746,3
227681,7
22770,3
227718,10
228032,7
228540,3
228955,2
228989,4
228991,4
228992,4
228993,4
229103,10
229369,2
229524,11
229788,2
229791,9
230004,11
230078,2
230247,2
23031,4
23048,3
23049,4
23050,4
23051,3
23052,4
230557,3
23058,4
23059,3
230593,8
23061,3
23062,4
23063,4
23064,3
23065,4
23066,4
23067,1
23068,1
23069,3
23070,4
230702,10
23071,1
230712,1
230713,1
23072,1
23073,4
23074,4
230751,1
230823,7
23090,1
23091,4
230936,3
23095,3
23096,4
230986,4
231043,2
23106,3
23107,1
23108,4
231087,3
231244,1
23126,3
23129,4
23130,3
23131,4
23132,3
23133,1
23135,4
231468,2
23149,4
23151,4
23153,4
23154,4
23157,3
23158,4
23160,10
23164,10
23165,4
23166,3
23167,1
23168,10
23169,4
23171,1
23173,4
231768,3
23182,3
23183,4
23186,4
23187,3
231878,2
23188,1
23189,4
23190,3
23191,1
23192,4
23195,3
23196,1
23197,4
23200,3
23201,4
232077,7
232099,2
232325,2
232334,2
232407,1
232525,2
23261,4
23262,3
23263,4
23264,3
23266,4
23267,3
23269,4
23272,4
23275,4
23276,4
23278,3
23279,4
23291,3
23292,4
23310,4
23311,3
23312,4
233238,9
23339,4
233636,2
234200,2
234231,1
234355,2
234509,4
234510,4
234511,4
234512,4
234932,1
235059,8
235131,2
235165,2
235171,2
235172,2
235174,2
235191,2
235516,2
235585,4
235613,2
235691,2
235694,2
235848,2
235998,2
236063,2
236590,2
236710,1
238099,1
238138,4
238298,8
238877,2
238878,2
239674,2
239998,11
240031,7
240717,10
240761,3
241284,7
241957,2
242193,2
242242,2
242622,1
242907,10
243391,1
243449,1
243450,2
243455,2
243458,2
243546,2
243813,1
244228,7
244281,2
244530,11
244657,11
244939,2
244940,2
244942,2
244943,2
244944,2
244945,2
244946,2
244947,2
245062,2
245128,2
245129,2
245130,2
245131,2
245848,18
245849,18
245852,18
245853,18
245855,18
245857,18
245903,1
246011,2
246270,2
246413,2
246423,2
246426,2
246477,2
246478,1
246482,1
246496,2
246497,1
246508,2
246777,4
246796,2
246797,2
246800,2
246801,2
246837,2
246839,2
246840,2
246841,2
246844,2
246904,2
246979,3
247010,2
247045,1
247322,4
247418,1
247428,2
247435,3
247439,2
247442,2
247447,2
247451,2
247458,2
247463,2
247467,2
247470,2
247472,2
247473,2
247545,2
247722,4
247816,2
247919,1
247921,1
248064,2
248187,10
248353,10
248541,9
248547,4
248551,4
248630,1
248868,2
249060,3
249177,2
249187,2
249430,1
249594,2
249954,2
250075,4
250377,2
250596,2
250639,1
250828,18
250881,1
251004,1
251019,2
251020,2
251139,2
251386,2
251706,3
252159,1
252271,2
252553,3
252554,3
252687,1
252745,2
252789,1
252794,1
252899,3
253087,2
253091,2
253361,7
253454,2
253555,3
253840,1
254003,2
254164,3
254268,7
254340,2
254553,2
254580,1
254608,2
254661,2
254800,4
255103,2
255105,2
255111,2
255125,7
255423,2
255424,2
255526,3
255527,3
255552,1
255999,10
256067,2
256068,9
256074,1
256082,1
256094,2
256230,2
256403,2
256816,3
256871,1
257201,4
257959,2
257963,2
257981,7
258208,2
258387,2
258451,2
258458,2
258513,2
258715,2
258716,2
258728,2
258760,1
259033,2
259223,2
259267,2
259516,1
259866,2
259876,3
259887,2
259888,2
259917,11
260085,2
260510,10
260737,1
261293,7
261500,7
261533,2
261582,8
261784,2
262155,3
262182,3
262187,2
262190,3
262198,14
262199,2
262211,2
262227,2
262231,4
262237,2
262609,7
262622,7
262633,3
262643,2
262732,7
262816,7
263011,7
263016,2
263022,7
263084,7
263126,1
263543,7
263544,2
263545,2
263546,7
263627,2
263662,1
263664,1
263668,1
263671,1
263676,2
263677,1
263681,2
263683,2
263685,1
263686,1
263789,1
263794,2
263989,2
263991,2
263992,2
263993,2
263994,2
264004,2
264124,2
264231,1
265206,2
265213,1
265214,2
266758,3
266791,4
267002,10
267185,3
267348,12
267607,2
267755,1
267963,4
268018,2
268947,1
269035,11
269159,2
269318,2
269320,2
269392,1
269492,1
269518,2
269735,2
269760,2
269811,10
270048,10
270359,2
270360,2
270370,2
270427,3
270438,1
271048,4
271288,8
271749,2
271836,4
271840,1
271844,1
271846,2
271847,1
271849,1
271852,2
272061,2
272159,8
272225,2
272466,1
272479,1
272486,1
272491,1
272541,2
272544,2
272562,1
272584,2
272595,1
272596,1
272597,1
272598,1
272599,1
272613,1
272615,1
272631,10
273432,2
273474,2
273676,3
274418,1
274421,1
274423,1
274436,10
274780,2
274824,2
275341,2
275344,2
275347,2
275350,2
275370,4
275440,10
275957,2
2760,2
276079,2
276355,2
276858,1
2770,2
277350,2
277351,3
277356,2
277407,2
277409,2
2775,2
277509,2
277511,2
277742,3
277754,1
277768,1
277919,9
278048,8
278073,2
278130,2
278137,2
278160,2
278161,2
278185,2
278212,2
278353,2
278394,2
278395,2
278402,3
278681,2
278687,2
278690,2
278691,2
278693,2
278694,2
278696,8
278697,2
278707,8
278709,8
278717,2
278718,2
278722,2
278723,2
278728,2
278729,2
278743,8
278851,1
278895,1
279270,2
279594,2
279605,2
279606,2
279607,2
279608,2
279613,2
279638,2
279640,1
279667,2
279678,9
279687,1
279861,4
279972,2
280026,8
280730,1
281002,2
281008,1
281392,4
282002,1
282240,4
282241,4
282303,1
282310,1
282961,4
283043,8
283136,2
283333,11
283561,2
283584,1
283886,2
283974,2
283983,2
283988,2
283991,2
283992,2
283998,2
284,2
284000,2
284144,2
284209,2
284262,2
284265,1
284269,2
284279,2
284283,2
284358,1
284362,1
284363,1
284396,4
284397,3
284471,2
284493,2
284498,2
284531,1
284558,2
284563,2
284574,2
284612,1
284615,2
284620,2
284626,2
284637,2
284645,2
284655,2
284785,3
284851,2
284852,2
284856,2
284868,2
284907,1
285488,2
285749,1
285827,1
285833,9
285835,9
285837,9
285841,2
285844,2
285847,2
285865,2
285866,1
285869,1
285873,9
285874,9
285876,2
285877,2
285878,2
286472,8
286849,8
286886,2
287036,4
287039,4
287041,4
287042,4
287972,2
288552,1
288624,8
288796,1
288810,1
288991,3
289,2
289028,1
289472,8
289479,1
289572,2
289574,2
289819,2
290015,1
290166,1
290270,4
290271,4
290273,4
290768,2
290905,2
291019,2
291396,1
292550,1
293335,2
295527,2
295622,3
295654,4
295734,1
295925,10
296505,2
296930,2
297956,1
297963,8
297964,2
298283,2
298456,1
298631,1
298883,2
298884,11
299457,2
299463,2
299467,2
299512,2
300657,2
301882,4
302112,1
302247,2
302482,1
305223,1
307091,11
307827,1
307900,1
307937,1
307991,1
308004,9
308071,1
308336,2
308337,2
308339,2
308469,3
308471,3
308570,3
309260,3
311023,2
312362,2
312399,2
312404,2
312408,1
312410,1
312437,9
312438,9
312439,9
312440,9
312455,2
312456,2
312457,2
312459,2
312460,2
312461,2
312474,2
312739,10
313018,2
314812,3
315962,2
317042,1
317286,9
318194,2
318375,8
318685,2
318773,7
318824,9
318854,2
318855,2
318857,2
319545,2
319594,4
319840,8
321063,1
321835,9
322824,8
323093,2
323094,2
323101,2
323103,2
323104,2
323105,2
323107,2
323117,7
323126,2
323154,1
323155,2
323158,2
323454,9
323472,2
323548,1
323673,2
323674,2
323947,2
324036,1
325567,1
325568,1
325589,2
325590,2
326095,3
326202,2
326350,18
327781,2
327782,2
327839,4
327844,10
327849,10
327932,2
327938,8
327939,4
328129,9
328138,1
328655,4
328659,3
328661,3
328724,10
328751,3
328753,3
328818,2
328843,2
328898,2
328905,1
329979,2
330046,9
330047,9
330083,9
330085,14
330092,2
330135,2
330175,8
330180,8
330189,7
330464,10
330465,4
330467,3
330468,10
330473,4
330475,3
330477,3
330478,10
330483,10
330492,10
330495,3
330498,10
330502,4
330601,3
330602,10
330702,1
330756,3
330759,1
331454,14
331457,14
331459,14
332205,10
332323,2
332548,18
332555,18
332558,18
332905,2
334928,1
334933,1
334936,1
334941,2
335000,2
335011,2
335138,2
335141,2
335145,2
335147,2
335154,2
335157,2
335158,2
336,3
336336,1
337512,2
337534,2
337837,2
337954,1
337957,1
337958,1
337960,1
337962,1
337963,1
338443,1
338527,1
338529,2
338532,2
338534,1
338583,1
338671,1
338680,2
338683,1
338686,2
338687,1
338688,1
338694,1
338695,1
338697,2
338699,2
338707,2
338988,9
339173,1
339298,7
339532,7
339538,2
339715,1
340278,4
340397,2
340492,11
340752,12
340763,2
340764,2
341321,1
341838,1
341893,4
342108,2
342114,2
342116,2
342197,1
342432,10
342782,8
342785,8
342790,2
342793,5
342794,2
342795,2
342796,5
342905,2
342907,2
342910,2
343206,1
343455,3
343458,2
343462,2
343476,1
343478,1
343496,2
343510,1
343511,9
343514,2
343515,9
343523,2
343956,9
343961,9
344395,14
344398,2
344399,1
344401,4
344402,3
344403,3
344406,1
344407,1
344514,2
344552,1
344554,2
344555,1
344557,1
344560,1
344729,2
344746,17
344769,2
346258,1
346388,1
346689,1
346691,2
346692,1
346694,1
346695,2
346697,2
346771,1
346773,2
346783,1
346786,2
346788,2
347178,11
347185,11
347186,11
347187,2
347188,2
347190,2
347192,14
347787,2
347824,2
347897,2
347916,2
347917,2
347933,7
347958,17
348309,2
348598,2
349464,2
349465,2
349520,2
